product_name,manufacturer,model
Baufeng-UV-5R EX dual band ht,Baufeng-Uv-5R,EX dual band ht
Quansheng UV-R50,Quansheng,UV-R50
Yaesu FT-25  2 m HT,Yaesu,FT-25  2 m HT
Baofeng DM-5r Plus,Baofeng,DM-5r Plus
Icom IC-4AT,Icom,IC-4AT
Baofeng UV-82X  2 meter/1.25 meter HT,Baofeng,UV-82X  2 meter/1.25 meter HT
TID TD-9800,Tid,TD-9800
TYT DM UVF10 (Retevis RT2),Tyt,DM UVF10
Baofeng GT-3WP Waterproof Transceiver,Baofeng,GT-3WP Waterproof Transceiver
Motorola SL-1600,Motorola,SL-1600
TDXone TD-Q8A,Tdxone,TD-Q8A
Anytone NSTIG-8R,Anytone,NSTIG-8R
Baofeng BF-530 I,Baofeng,BF-530 I
Yaesu FT-257,Yaesu,FT-257
Puxing PX-358,Puxing,PX-358
HYS TC-VY88  Dual Band,Hys,TC-VY88  Dual Band
TYT TH-UV9R,Tyt,TH-UV9R
Alinco DJV- 47T,Alinco,DJV- 47T
TYT TH-2R,Tyt,TH-2R
Motorola CP200 UHF 16 CH.,Motorola,CP200 UHF 16 CH.
Motorola M1225 VHF MOBILE,Motorola,M1225
Guylas sma-to-bnc antenna adapter,Guylas,sma-to-bnc antenna adapter
Alinco DJ-S45T,Alinco,DJ-S45T
ALINCO DJ-496T,Alinco,DJ-496T
ADI HT-204,Adi,HT-204
Wilson Electronics WE-800 2 Meter FM Transceiver,Wilson,Electronics WE-800 2 Meter FM Transceiver
Alinco DJ-480T,Alinco,DJ-480T
Kenwood TH-55,Kenwood,TH-55
AZDEN AZ-61,Azden,AZ-61
VHF Engineering HT-144,Vhf,Engineering HT-144
Motorola GP350,Motorola,GP350
Icom IC-4SA,Icom,IC-4SA
Yaesu FT-709,Yaesu,FT-709
Icom F3GS,Icom,F3GS
Tokyo Hy-Power HT-7,Tokyo,Hy-Power HT-7
Alinco DJ-C4,Alinco,DJ-C4
ICOM IC-V68,Icom,IC-V68
Motorola PRO9150,Motorola,PRO9150
Standard C468A,Standard,C468A
Santec HT1200,Santec,HT1200
Mizuho MX-6,Mizuho,MX-6
Yaesu FT-202R,Yaesu,FT-202R
Motorola MTX9000,Motorola,MTX9000
Motorola EX500/600 HT,Motorola,EX500/600 HT
Pryme (ADI) PR-460,Pryme,(ADI) PR-460
Pryme (ADI) PR-52,Pryme,(ADI) PR-52
Icom IC-O3AT,Icom,IC-O3AT
Wouxun KG-Q10H VHF/UHF handheld,Wouxun,KG-Q10H
Baofeng UV-5R Mini,Baofeng,UV-5R Mini
BAOFENG BF-F8HP PRO,Baofeng,BF-F8HP PRO
TYT UVL-15W,Tyt,UVL-15W
Talkpod A36PLUS MAX,Talkpod,A36PLUS MAX
Icom ID 52A Plus 60th Anniversary Edition.,Icom,ID 52A Plus 60th Anniversary Edition.
TYT MD-UV390,Tyt,MD-UV390
Leixen UV-25D,Leixen,UV-25D
Wouxun KG-UV9PX,Wouxun,KG-UV9PX
Retevis RT20,Retevis,RT20
Retevis RB24/RB91 70cm Mesh Radio + Repeater,Retevis,RB24/RB91 70cm Mesh Radio + Repeater
ComJot CJ-1,Comjot,CJ-1
Retevis RT-3S DMR/FM dual band radio with programming cable,Retevis,RT-3S DMR/FM dual band radio with programming cable
Heathkit HW-6502 2M handheld,Heathkit,HW-6502 2M handheld
Wouxun KG-UV7D,Wouxun,KG-UV7D
TYT TH-UV99,Tyt,TH-UV99
Baofeng DM-1701 5W Dual Band DMR,Baofeng,DM-1701 5W
Baofeng GT-5R,Baofeng,GT-5R
Yaesu VX-110,Yaesu,VX-110
Retevis RA-89,Retevis,RA-89
Baofeng DR-1801UV,Baofeng,DR-1801UV
RADTEL RT-470X,Radtel,RT-470X
Baofeng UV-10R,Baofeng,UV-10R
Wouxun KGUV8H,Wouxun,KGUV8H
Radioddity GS-5B,Radioddity,GS-5B
Alinco DJ-MD5XTG,Alinco,DJ-MD5XTG
Icom IC-2SA,Icom,IC-2SA
Baofeng/Radioddity UV-5RX3 tri-band VHF/UHF transceiver,Baofeng,/Radioddity UV-5RX3 tri-band
VERO VR N75 UHF programed & controled by Android,Vero,VR N75 UHF programed & controled by Android
Hora C-150 2m Hand Held Transceiver,Hora,C-150 2m Hand Held Transceiver
Icom IC-2SAT,Icom,IC-2SAT
Belcom LS-702,Belcom,LS-702
Motorola XPR3500e,Motorola,XPR3500e
Retevis RT23,Retevis,RT23
