Brand,Model,APRS,Air Band,Battery (mAh),Cost (Approx),DMR,Display,Freq. Bands (TX),GPS,Harmonic Suppression Status,Intro Year,Known Rebadges / Clones,Power (W),Satellite Tracking,Website,FCC_ID,Grantee_Code
Baofeng,UV-5X3,No,No,1500,$60,No,Tri-color,Tri-Band (220),No,Mixed,2016,N/A,5W,No,baofengtech.com,2AJGM-UV-5X3,2AJGM
Baofeng,UV-6,,,,,,,,,,,,,,,2AJGM-UV-6,2AJGM
Baofeng,UV-68 Pro,No,No,2800,$45,No,LCD,"VHF, UHF",No,Unknown,2024,UV-S22 (Variant),10W,No,baofengradio.com,2AJGM-UV-68PRO,2AJGM
Baofeng,UV-82,No,No,1800,$35,No,LCD,"VHF, UHF",No,Mixed,2013.0,baofengradio.com,5W,No,,2AJGM-UV-82,2AJGM
Baofeng,UV-82C,No,No,1800,$55,No,Tri-color,"VHF, UHF",No,Good (Commercial),2013,N/A,5W,No,baofengtech.com,2AJGM-UV-82C,2AJGM
Baofeng,UV-82HP,No,No,1800,$65,No,Tri-color,"VHF, UHF",No,Mixed,2015,Pofung UV-82HP,7W/8W,No,baofengtech.com,2AJGM-UV-82HP,2AJGM
Baofeng,UV-82L,,,,,,,,,,,,,,,2AJGM-UV-82L,2AJGM
Baofeng,UV-82X,No,No,1800,Discont.,No,Tri-color,"VHF, 220",No,Good,2014,N/A,5W,No,baofengradio.com,2AJGM-UV-82X,2AJGM
Baofeng,UV-B5,No,No,2000,$30,No,LCD,"VHF, UHF",No,Good (Old Gen),2012,N/A,5W,No,baofengradio.com,2AJGM-UV-B5,2AJGM
Baofeng,UV-B6,,,,,,,,,,,,,,,2AJGM-UV-B6,2AJGM
Baojie,BF-UV88,,,,,,,,,,,,,,,2AFPR-BF-UV88,2AFPR
Baojie,HG-UV2,,,,,,,,,,,,,,,2AFPR-HG-UV2,2AFPR
Baojie,UV-55,,,,,,,,,,,,,,,2AFPR-UV-55,2AFPR
Baojie,UV-88,,,,,,,,,,,,,,,2AFPR-UV-88,2AFPR
Baojie,UV-99,,,,,,,,,,,,,,,2AFPR-UV-99,2AFPR
Benjamin,Tech 1200,,,,,,,,,,,,,,,,
Bintolk,BT7700,No,Yes,2500,$35,No,Color LCD,"VHF, UHF",No,Unknown,2024,Radtel RT-860 / Bajeton BJ-7700,5W,No,bintolk (AliExpress),2AJGM-BT7700,2AJGM
