manufacturer,model
Vertex,VXA-300 Pilot III
Vertex,VXA-700 Spirit
Vhf,Engineering HT-144
Vx7R,USB programming/cloning cable
Wilson,Electronics WE-800 2 Meter FM Transceiver
Wln,KD-C1
Wouxun,KG UV8D
Wouxun,KG-689
Wouxun,KG-816
Wouxun,KG-833
Wouxun,KG-UV2D
Wouxun,KG-UV3D
Wouxun,KG-UV6D
Wouxun,KG-UV6X
Wouxun,KG-UV7D
Wouxun,KG-UV8D+
Wouxun,KG-UV9D Plus+
Wouxun,KG-UV9PX
Wouxun,KG-UVD1
Wouxun,KG-UVD1P
Wouxun,KG-UVD2
Wouxun,KGUV8H
Yaesu,FT-10R
Yaesu,FT-11R
Yaesu,FT-202R
Yaesu,FT-203R
Yaesu,FT-207R HT
Yaesu,FT-208R
Yaesu,FT-209RH
Yaesu,FT-23R
Yaesu,FT-25  2 m HT
Yaesu,FT-250R
Yaesu,FT-252
Yaesu,FT-257
Yaesu,FT-270R
Yaesu,"FT-277R UHF Transceiver, Handheld"
Yaesu,FT-2DR
Yaesu,FT-33R
Yaesu,FT-411E
Yaesu,FT-41R
Yaesu,FT-470
Yaesu,FT-4VR
Yaesu,FT-4XR
Yaesu,FT-50R
Yaesu,FT-51R
Yaesu,FT-530
Yaesu,FT-60R
Yaesu,FT-65R
Yaesu,FT-709
Yaesu,FT-70DR
Yaesu,FT-727R
Yaesu,FT1D
Yaesu,FT3DR/DE
Yaesu,FT5DR
Yaesu,FTM-150R ASP
Yaesu,VX-110
Yaesu,VX-110
Yaesu,VX-150
Yaesu,VX-170
Yaesu,VX-177
Yaesu,VX-1R
Yaesu,VX-1R
Yaesu,VX-250
Yaesu,VX-2R
Yaesu,VX-300
Yaesu,VX-3R
Yaesu,VX-5R
Yaesu,VX-6R
Yaesu,VX-7R
Yaesu,VX-8DR
Yaesu,VX-8DR -
Yaesu,VX-8GR
Yaesu,VX-8R
Yaesu,ft911
Yanton,T-650UV 10-watt HT
Zares,ZLUHF02
Zares,ZLVHF01
Zastone/Abbree,899-G
