FCC ID,Grantee Code,Grantee Name,Application Purpose,Grant Date
2AJGM-UV7B,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,01/28/2026
2AJGM-UV82,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Class II Permissive Change,03/11/2019
2AJGM-UV82,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,06/25/2018
2AJGM-UV8D,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,05/19/2025
2AJGM-UV9G,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,09/23/2022
2AJGM-UV9RPRO,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,01/18/2022
2AJGM-UVK5,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,11/12/2023
2AJGM-V12D,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,10/14/2024
2AJGM-V1D,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,08/12/2024
2AJGM-V4D,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,10/01/2024
2AJGM-W31D,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,10/14/2024
2AJGM-W31S,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,12/08/2025
2AJGMBF-888S,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Change in Identification,11/03/2020
2AJGMBF-H6,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,11/27/2019
2AJGMBF-T11,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,11/18/2019
2AJGMBF-T15,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,11/28/2019
2AJGMBF888SPLUS,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,05/11/2021
2AJGMF100,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Change in Identification,05/24/2021
2AJGMH-888S,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,01/18/2023
2AJGMH-888S,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,12/29/2022
2AJGMUV-5R,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Change in Identification,11/03/2020
2AJGMUV-82,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Change in Identification,11/03/2020
2AJGMUV17M,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,02/26/2024
2AJGMUV82,2AJGM,PO FUNG ELECTRONIC (HK) INTERNATONAL GROUP COMPANY LIMITED,Original Equipment,02/25/2021
2ANPO00NRF9151,2ANPO,Nordic Semiconductor ASA,Class II Permissive Change,07/01/2024
2ANPO00NRF9151,2ANPO,Nordic Semiconductor ASA,Class II Permissive Change,07/18/2025
2ANPO00NRF9151,2ANPO,Nordic Semiconductor ASA,Original Equipment,04/05/2024
2ANPO00NRF9160,2ANPO,Nordic Semiconductor ASA,Class II Permissive Change,06/29/2023
2ANPO00NRF9160,2ANPO,Nordic Semiconductor ASA,Class II Permissive Change,09/21/2020
2ANPO00NRF9160,2ANPO,Nordic Semiconductor ASA,Original Equipment,06/06/2019
2ANPO00NRF9160,2ANPO,Nordic Semiconductor ASA,Original Equipment,06/14/2019
2ANPO00NRF9160,2ANPO,Nordic Semiconductor ASA,Original Equipment,06/17/2019
2ANPO00NRF9161,2ANPO,Nordic Semiconductor ASA,Original Equipment,12/20/2023
2ANPOTHINGY53,2ANPO,Nordic Semiconductor ASA,Original Equipment,06/22/2022
2ANPOTHINGY91,2ANPO,Nordic Semiconductor ASA,Original Equipment,01/28/2020
AFJ217700,AFJ,ICOM Incorporated,Original Equipment,04/11/2003
AFJ217800,AFJ,ICOM Incorporated,Original Equipment,09/09/2004
AFJ236702,AFJ,ICOM Incorporated,Class II Permissive Change,12/30/2003
AFJ236702,AFJ,ICOM Incorporated,Original Equipment,06/18/2003
AFJ236801,AFJ,ICOM Incorporated,Class II Permissive Change,10/05/2007
AFJ236801,AFJ,ICOM Incorporated,Original Equipment,09/03/2003
AFJ236803,AFJ,ICOM Incorporated,Class II Permissive Change,10/08/2007
AFJ236803,AFJ,ICOM Incorporated,Original Equipment,02/27/2003
AFJ242700,AFJ,ICOM Incorporated,Original Equipment,11/15/2005
AFJ259000,AFJ,ICOM Incorporated,Class II Permissive Change,04/11/2006
AFJ259000,AFJ,ICOM Incorporated,Original Equipment,02/18/2004
AFJ262200,AFJ,ICOM Incorporated,Original Equipment,01/29/2003
AFJ262301,AFJ,ICOM Incorporated,Original Equipment,02/19/2003
AFJ262700,AFJ,ICOM Incorporated,Original Equipment,07/18/2003
AFJ263300,AFJ,ICOM Incorporated,Original Equipment,04/21/2003
AFJ268100,AFJ,ICOM Incorporated,Original Equipment,01/05/2004
AFJ268201,AFJ,ICOM Incorporated,Original Equipment,01/12/2004
AFJ268202,AFJ,ICOM Incorporated,Original Equipment,12/30/2003
AFJ268500,AFJ,ICOM Incorporated,Original Equipment,11/05/2003
AFJ269100,AFJ,ICOM Incorporated,Class II Permissive Change,03/17/2005
AFJ269100,AFJ,ICOM Incorporated,Original Equipment,09/25/2003
AFJ269700,AFJ,ICOM Incorporated,Original Equipment,10/20/2003
AFJ269800,AFJ,ICOM Incorporated,Original Equipment,12/16/2003
AFJ269900,AFJ,ICOM Incorporated,Original Equipment,03/29/2004
AFJ270600,AFJ,ICOM Incorporated,Original Equipment,11/26/2003
AFJ271400,AFJ,ICOM Incorporated,Class II Permissive Change,11/29/2010
AFJ271400,AFJ,ICOM Incorporated,Original Equipment,09/13/2005
AFJ271410,AFJ,ICOM Incorporated,Original Equipment,07/05/2018
AFJ271420,AFJ,ICOM Incorporated,Original Equipment,01/07/2021
AFJ272102,AFJ,ICOM Incorporated,Class II Permissive Change,12/29/2012
AFJ272102,AFJ,ICOM Incorporated,Original Equipment,03/18/2004
AFJ272103,AFJ,ICOM Incorporated,Class II Permissive Change,12/29/2012
